_id,ltable_ID,rtable_ID,ltable_shop name,ltable_postal code,ltable_street address,ltable_phone number,rtable_shop name,rtable_postal code,rtable_street address,rtable_phone number
27,23,1925,bcd tofu house,90010.0,3575 wilshire blvd,2133826677.0,bcd tofu house,90010.0,3575 wilshire blvd,2133826677.0
28,24,1358,si laa thai,90035.0,1128 s robertson blvd,3108587738.0,si laa,90035.0,1128 s robertson blvd,3108587738.0
29,27,2155,chaya downtown,90071.0,525 s. flower street,2132369577.0,chaya downtown,90071.0,525 s flower st,2132369577.0
30,28,1828,kang hodong baekjeong,90020.0,3465 w 6th st,2133849678.0,kang ho dong baekjeong,90020.0,3465 w 6th st,2133849678.0
31,30,1944,wokcano - downtown la,90017.0,800 w 7th st,2136232288.0,wokcano,90017.0,800 w 7th st,2136232288.0
32,30,2123,wokcano - downtown la,90017.0,800 w 7th st,2136232288.0,the counter downtown la,90017.0,725 w 7th st,2132287800.0
33,31,1644,marugame monzo,,"329 e. 1st , los angeles, california 90012",2133469762.0,marugame monzo,90012.0,329 e 1st st,2133469762.0
34,32,1066,pine & crane,90026.0,1521 griffith park blvd,3236681128.0,pine & crane,90026.0,1521 griffith park blvd,3236681128.0
35,33,1191,soowon galbi,90005.0,856 s vermont ave,2133659292.0,soowon galbi kbbq restaurant,90005.0,856 s vermont ave,2133659292.0
36,35,1286,little sister,90014.0,523 w 7th st,2136283146.0,little sister,90017.0,523 w 7th st,2136283146.0
37,36,1604,luv2eat thai bistro,90028.0,6660 w sunset blvd,3234985835.0,luv2eat thai bistro,90028.0,6660 w sunset blvd,3234985835.0
38,37,1536,pink pepper,90028.0,1638 n la brea ave,3234612462.0,pink pepper,90028.0,1638 north la brea avenue,3234612462.0
39,40,1876,shin-sen-gumi la,90013.0,132 s central ave,2136877108.0,shin-sen-gumi hakata ramen - little tokyo,90012.0,132 s central ave,2136877108.0
40,43,316,triple 8 china bar & grill,,800 w olympic blvd ste a120,2137473700.0,rodeo mexican grill,90015.0,1721 w olympic blvd,2137385252.0
41,43,498,triple 8 china bar & grill,,800 w olympic blvd ste a120,2137473700.0,california mexican grill,90064.0,11106 w olympic blvd,3104730501.0
42,43,1390,triple 8 china bar & grill,,800 w olympic blvd ste a120,2137473700.0,thirteen xiii soju bar,90019.0,4121 w olympic blvd,3232723432.0
43,43,1490,triple 8 china bar & grill,,800 w olympic blvd ste a120,2137473700.0,wolfgang puck bar & grill,90015.0,800 w olympic blvd,2137489700.0
44,43,1593,triple 8 china bar & grill,,800 w olympic blvd ste a120,2137473700.0,aroma bar and grill,90046.0,7373 w sunset blvd,3238508120.0
45,43,1810,triple 8 china bar & grill,,800 w olympic blvd ste a120,2137473700.0,triple 8 china bar & grill,90015.0,800 w olympic blvd,2137473700.0
46,43,2541,triple 8 china bar & grill,,800 w olympic blvd ste a120,2137473700.0,rainbow bar & grill,90069.0,9015 w sunset blvd,3102784232.0
47,43,2717,triple 8 china bar & grill,,800 w olympic blvd ste a120,2137473700.0,philly pizza & grill,90035.0,8500 w olympic blvd,3108547272.0
48,43,3416,triple 8 china bar & grill,,800 w olympic blvd ste a120,2137473700.0,fleming's prime steakhouse & wine bar,90015.0,800 w olympic blvd,2137459911.0
49,43,3504,triple 8 china bar & grill,,800 w olympic blvd ste a120,2137473700.0,el criollo bar & grill,91506.0,916 w burbank blvd,8182600211.0
50,46,1792,thai patio,90027.0,5273 hollywood blvd,3234663894.0,thai patio,90027.0,5273 hollywood blvd,3234663894.0
51,47,2080,izaka-ya by katsuya,90048.0,8420 w. 3rd st,3237829536.0,the izaka-ya by katsu-ya,90048.0,8420 w 3rd st,3237829536.0
52,48,692,kogi bbq taco truck,,,7146974683.0,kogi bbq truck,91604.0,valleyheart dr at lankershim blvd,
53,48,1928,kogi bbq taco truck,,,7146974683.0,kogi bbq truck - azul,,,3233150253.0
54,49,1096,blue ribbon sushi bar & grill,90036.0,189 the grove dr,3233529300.0,wood ranch bbq & grill,90036.0,189 the grove dr,3239376800.0
55,49,1361,blue ribbon sushi bar & grill,90036.0,189 the grove dr,3233529300.0,bar verde,90036.0,189 the grove dr,3239001610.0
56,50,1017,silver lake ramen,90026.0,2927 w sunset blvd,3236608100.0,33 taps silver lake,90026.0,3725 w sunset blvd,3233387777.0
57,50,1841,silver lake ramen,90026.0,2927 w sunset blvd,3236608100.0,silverlake ramen,90026.0,2927 w sunset blvd,3236608100.0
58,51,1346,pa ord noodles,90027.0,5301 w sunset blvd,,pa ord noodle,90027.0,5301 sunset blvd,3234613945.0
59,51,2182,pa ord noodles,90027.0,5301 w sunset blvd,,pa ord noodle,90028.0,7075 w sunset blvd,3234642989.0
60,52,1135,pot commissary cafe,,3515 wilshire blvd,2133683030.0,pot,90010.0,3515 wilshire blvd,2133683030.0
61,52,1500,pot commissary cafe,,3515 wilshire blvd,2133683030.0,commissary,90010.0,3515 wilshire blvd,2133683030.0
62,52,4105,pot commissary cafe,,3515 wilshire blvd,2133683030.0,pot cafe,90010.0,3515 wilshire blvd,2133683030.0
63,53,1049,toi on sunset,90046.0,7505 1/2 w sunset blvd,3238748062.0,the den on sunset,90046.0,8226 w sunset blvd,3236560336.0
64,53,1235,toi on sunset,90046.0,7505 1/2 w sunset blvd,3238748062.0,sunset grill hollywood,90046.0,7439 w sunset blvd,3238515557.0
65,53,1248,toi on sunset,90046.0,7505 1/2 w sunset blvd,3238748062.0,bossa nova on sunset,90046.0,7181 w sunset blvd,3234367999.0
66,53,2183,toi on sunset,90046.0,7505 1/2 w sunset blvd,3238748062.0,toi on sunset,90046.0,7505 1/2 w sunset blvd,3238748062.0
67,53,4504,toi on sunset,90046.0,7505 1/2 w sunset blvd,3238748062.0,sam's on sunset,90046.0,7864 w sunset blvd,3238507267.0
68,54,1865,tsujita la,90025.0,2057 sawtelle blvd,3102310222.0,tsujita la artisan noodle,90025.0,2057 sawtelle blvd,3102317373.0
69,54,2304,tsujita la,90025.0,2057 sawtelle blvd,3102310222.0,tsujita la artisan noodle annex,90025.0,2050 sawtelle blvd,3102310222.0
70,55,1559,quarters,90020.0,3465 w 6th st,2133658111.0,quarters korean bbq,90020.0,3465 w 6th st,2133658111.0
